Name;Salary
Avery Bradley;7730337.0
Jae Crowder;6796117.0
R.J. Hunter;1148640.0
Jonas Jerebko;5000000.0
Amir Johnson;12000000.0
Jordan Mickey;1170960.0
Kelly Olynyk;2165160.0
Terry Rozier;1824360.0
Marcus Smart;3431040.0
Jared Sullinger;2569260.0
Isaiah Thomas;6912869.0
Evan Turner;3425510.0
James Young;1749840.0
Bojan Bogdanovic;3425510.0
Markel Brown;845059.0
Wayne Ellington;1500000.0
Rondae Hollis-Jefferson;1335480.0
Jarrett Jack;6300000.0
Sergey Karasev;1599840.0
Sean Kilpatrick;134215.0
Shane Larkin;1500000.0
Brook Lopez;19689000.0
Chris McCullough;1140240.0
Willie Reed;947276.0
Thomas Robinson;981348.0
Henry Sims;947276.0
Donald Sloan;947276.0
Thaddeus Young;11235955.0
Arron Afflalo;8000000.0
Lou Amundson;1635476.0
Thanasis Antetokounmpo;30888.0
Carmelo Anthony;22875000.0
Jose Calderon;7402812.0
Cleanthony Early;845059.0
Langston Galloway;845059.0
Jerian Grant;1572360.0
Robin Lopez;12650000.0
Kyle O'Quinn;3750000.0
Kristaps Porzingis;4131720.0
Kevin Seraphin;2814000.0
Lance Thomas;1636842.0
Sasha Vujacic;947276.0
Derrick Williams;4000000.0
Tony Wroten;167406.0
Isaiah Canaan;947276.0
Robert Covington;1000000.0
Joel Embiid;4626960.0
Jerami Grant;845059.0
Carl Landry;6500000.0
Kendall Marshall;2144772.0
T.J. McConnell;525093.0
Nerlens Noel;3457800.0
Jahlil Okafor;4582680.0
Ish Smith;947276.0
Nik Stauskas;2869440.0
Hollis Thompson;947276.0
Christian Wood;525093.0
Bismack Biyombo;2814000.0
Bruno Caboclo;1524000.0
DeMarre Carroll;13600000.0
DeMar DeRozan;10050000.0
James Johnson;2500000.0
Cory Joseph;7000000.0
Kyle Lowry;12000000.0
Lucas Nogueira;1842000.0
Patrick Patterson;6268675.0
Norman Powell;650000.0
Terrence Ross;3553917.0
Luis Scola;2900000.0
Jason Thompson;245177.0
Jonas Valanciunas;4660482.0
Delon Wright;1509360.0
Leandro Barbosa;2500000.0
Harrison Barnes;3873398.0
Andrew Bogut;13800000.0
Ian Clark;947276.0
Stephen Curry;11370786.0
Festus Ezeli;2008748.0
Draymond Green;14260870.0
Shaun Livingston;5543725.0
Kevon Looney;1131960.0
James Michael McAdoo;845059.0
Brandon Rush;1270964.0
Marreese Speights;3815000.0
Klay Thompson;15501000.0
Anderson Varejao;289755.0
Cole Aldrich;1100602.0
Jeff Ayres;111444.0
Jamal Crawford;5675000.0
Branden Dawson;525093.0
Jeff Green;9650000.0
Blake Griffin;18907726.0
Wesley Johnson;1100602.0
DeAndre Jordan;19689000.0
Luc Richard Mbah a Moute;947276.0
Chris Paul;21468695.0
Paul Pierce;3376000.0
JJ Redick;7085000.0
Austin Rivers;3110796.0
C.J. Wilcox;1159680.0
Brandon Bass;3000000.0
Tarik Black;845059.0
Anthony Brown;700000.0
Kobe Bryant;25000000.0
Jordan Clarkson;845059.0
Roy Hibbert;15592217.0
Marcelo Huertas;525093.0
Ryan Kelly;1724250.0
Larry Nance Jr.;1155600.0
Julius Randle;3132240.0
D'Angelo Russell;5103120.0
Robert Sacre;981348.0
Louis Williams;7000000.0
Metta World Peace;947276.0
Nick Young;5219169.0
Eric Bledsoe;13500000.0
Devin Booker;2127840.0
Chase Budinger;206192.0
Tyson Chandler;13000000.0
Archie Goodwin;1160160.0
John Jenkins;981348.0
Brandon Knight;13500000.0
Alex Len;3807120.0
Jon Leuer;1035000.0
Phil Pressey;55722.0
Ronnie Price;947276.0
Mirza Teletovic;5500000.0
P.J. Tucker;5500000.0
Alan Williams;83397.0
Quincy Acy;981348.0
James Anderson;1015421.0
Marco Belinelli;6060606.0
Caron Butler;1449187.0
Omri Casspi;2836186.0
Willie Cauley-Stein;3398280.0
Darren Collison;5013559.0
DeMarcus Cousins;15851950.0
Seth Curry;947276.0
Duje Dukan;525093.0
Rudy Gay;12403101.0
Kosta Koufos;7700000.0
Ben McLemore;3156600.0
Eric Moreland;845059.0
Rajon Rondo;9500000.0
Cameron Bairstow;845059.0
Aaron Brooks;2250000.0
Jimmy Butler;16407500.0
Mike Dunleavy;4500000.0
Cristiano Felicio;525093.0
Pau Gasol;7448760.0
Taj Gibson;8500000.0
Justin Holiday;947276.0
Doug McDermott;2380440.0
Nikola Mirotic;5543725.0
E'Twaun Moore;1015421.0
Joakim Noah;13400000.0
Bobby Portis;1391160.0
Derrick Rose;20093064.0
Tony Snell;1535880.0
Matthew Dellavedova;1147276.0
Channing Frye;8193029.0
Kyrie Irving;16407501.0
LeBron James;22970500.0
James Jones;947276.0
Sasha Kaun;1276000.0
Kevin Love;19689000.0
Jordan McRae;111196.0
Timofey Mozgov;4950000.0
Iman Shumpert;8988765.0
J.R. Smith;5000000.0
Tristan Thompson;14260870.0
Mo Williams;2100000.0
Joel Anthony;2500000.0
Aron Baynes;6500000.0
Steve Blake;2170465.0
Lorenzo Brown;111444.0
Reggie Bullock;1252440.0
Kentavious Caldwell-Pope;2891760.0
Spencer Dinwiddie;845059.0
Andre Drummond;3272091.0
Tobias Harris;16000000.0
Darrun Hilliard;600000.0
Reggie Jackson;13913044.0
Stanley Johnson;2841960.0
Jodie Meeks;6270000.0
Marcus Morris;5000000.0
Anthony Tolliver;3000000.0
Lavoy Allen;4050000.0
Rakeem Christmas;1007026.0
Monta Ellis;10300000.0
Paul George;17120106.0
George Hill;8000000.0
Jordan Hill;4000000.0
Solomon Hill;1358880.0
Ty Lawson;211744.0
Ian Mahinmi;4000000.0
C.J. Miles;4394225.0
Rodney Stuckey;7000000.0
Myles Turner;2357760.0
Shayne Whittington;845059.0
Joe Young;1007026.0
Giannis Antetokounmpo;1953960.0
Jerryd Bayless;3000000.0
Michael Carter-Williams;2399040.0
Jared Cunningham;947276.0
Tyler Ennis;1662360.0
John Henson;2943221.0
Damien Inglis;855000.0
O.J. Mayo;8000000.0
Khris Middleton;14700000.0
Greg Monroe;16407500.0
Steve Novak;295327.0
Johnny O'Bryant III;845059.0
Jabari Parker;5152440.0
Miles Plumlee;2109294.0
Greivis Vasquez;6600000.0
Rashad Vaughn;1733040.0
Justin Anderson;1449000.0
Jeremy Evans;1100602.0
Raymond Felton;3950313.0
Devin Harris;4053446.0
David Lee;2085671.0
Wesley Matthews;16407500.0
JaVale McGee;1270964.0
Salah Mejri;525093.0
Dirk Nowitzki;8333334.0
Zaza Pachulia;5200000.0
Chandler Parsons;15361500.0
